nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
Got Me Started,Troye Sivan,"2,180",30.7,"125,169,958","19,673","11,567,850",5,60,29,"395,765"
Low,SZA,"2,178",30.7,"452,881,574","59,064","17,662,712",73,22,13,"111,469"
Night Changes,One Direction,"2,179",30.7,"1,548,151,634","154,325","92,409,509",83,66,36,"231,749"
De Los Besos Que Te Di,Christian Nodal,"2,182",30.7,"518,477,840","40,921","13,324,377",71,39,18,"2,807,120"
DNA.,Kendrick Lamar,"2,184",30.7,"1,157,112,366","185,660","44,429,618",75,191,45,"179,785"
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix",Ty Dolla $ign,"2,197",30.6,"949,312,501","152,498","28,278,237",74,30,7,"4,123"
Baklava,Gya,"2,189",30.6,"5,633,595",418,"286,571",61,2,1,"128,640"
BIZCOCHITO,ROSALï¿½,"2,192",30.6,"222,910,969","42,182","10,406,462",61,34,23,"134,321"
"\"Love Me Like You Do - From \"\"Fifty Shades Of Grey\"\"\"",Ellie Goulding,"2,193",30.6,"1,532,983,094","116,546","49,188,494",70,216,107,"702,636"
Still Don't Know My Name,Labrinth,"2,185",30.6,"666,107,710","127,503","40,134,293",71,71,27,"224,993"
Sittin' On Top Of The World,Burna Boy,"2,196",30.6,"44,751,795","23,415","3,622,192",55,44,11,"118,980"
Si Fuera Fï¿½ï¿,Grupo Marca Registrada,"2,195",30.6,"285,183,501","28,319","13,770,276",65,6,2,"194,190"
Broke In A Minute,Tory Lanez,"2,186",30.6,"407,015,049","116,527","22,947,586",70,30,32,"120,194"
Engana Dizendo Que Ama,Veigh,"2,188",30.6,"142,474,379","25,470","5,055,407",67,8,8,"328,165"
In Case You Didn't Know,Brett Young,"2,198",30.6,"560,774,282","62,305","14,198,815",68,38,5,"8,037"
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol",Bizarrap,"2,191",30.6,"146,680,564","28,883","9,546,255",62,8,13,"115,418"
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcï¿½ï¿½,"2,199",30.5,"462,055,272","54,302","17,847,539",71,11,7,"23,122"
HVN ON EARTH (with Kodak Black),Lil Tecca,"2,201",30.5,"114,669,893","39,763","21,760,033",60,2,3,"36,550"
It Ain't Me (with Selena Gomez),Kygo,"2,205",30.5,"1,430,439,855","150,179","55,438,878",71,210,110,"752,307"
I CAN'T STOP ME,TWICE,"2,200",30.5,"384,886,220","32,051","9,361,355",65,31,8,"56,015"
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,"2,203",30.5,"622,690,472","108,263","18,637,177",69,36,10,"120,387"
Vivir Mi Vida,Marc Anthony,"2,210",30.4,"618,671,056","78,822","28,465,181",71,112,46,"685,724"
Love Not War (The Tampa Beat),Jason Derulo,"2,212",30.4,"286,179,073","51,888","9,569,404",59,99,28,"344,794"
"\"Lose Yourself - From \"\"8 Mile\"\" Soundtrack\"",Eminem,"2,222",30.4,"2,194,935,773","345,119","97,808,878",75,252,127,"3,101,373"
My Oh My,Ava Max,"2,216",30.4,"20,012,688","2,365","37,158,651",1,51,21,"7,073,401"
willow,Taylor Swift,"2,217",30.4,"844,790,027","67,136","50,350,718",72,167,29,"412,109"
100 MESSAGGI,Lazza,"2,219",30.4,"69,972,816","5,282","6,183,983",73,13,3,"3,785,899"
OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,"2,218",30.4,"509,445,605","105,947","68,408,965",68,124,72,"1,755,222"
Cï¿½ï¿½,Rauw Alejandro,"2,215",30.4,"596,905,923","83,179","20,128,974",76,72,18,"238,540"
Whatï¿½ï¿½ï¿½,Drake,"2,220",30.4,"383,261,731","94,964","21,697,781",62,62,27,"428,254"
Turn On The Lights again.. (feat. Future),Fred again..,"2,214",30.4,"190,872,805","102,679","49,713,000",61,44,16,"491,915"
Despï¿½ï¿½dase,Carin Leon,"2,211",30.4,"10,557,337",393,"42,329,224",72,9,6,"642,021"
Illegal Weapon,Garry Sandhu,"2,224",30.3,"67,999,897","12,496","2,290,221",57,12,1,118
Starships,Nicki Minaj,"2,225",30.3,"1,125,407,888","189,848","71,457,898",73,149,53,"984,604"
Calidad,Grupo Firme,"2,238",30.3,"308,915,484","18,763","9,876,263",54,6,1,"4,392"
Send My Love (To Your New Lover),Adele,"2,234",30.3,"1,064,599,051","89,443","24,441,546",66,116,37,"295,349"
No Hay Nadie Mï¿½,Sebastian Yatra,"2,239",30.3,"546,219,103","43,372","12,705,005",69,21,31,"123,304"
Rather Be (feat. Jess Glynne),Clean Bandit,"2,236",30.3,"1,327,093,253","188,363","58,299,660",70,250,162,"968,778"
Into Your Arms (feat. Ava Max),Witt Lowry,"2,232",30.3,"390,529,605","68,181","10,506,568",67,17,7,"9,478"
Ramenez la coupe ï¿½ï¿½ la ma,Vegedream,"2,233",30.3,"482,859,077","154,354","9,307,449",62,58,30,"460,193"
Mï¿½ï¿½dchen auf dem P,Luca-Dante Spadafora,"2,226",30.3,"119,141,939","46,323","14,389,973",67,21,15,"212,114"
Cuando Te Besï¿,Becky G,"2,240",30.3,"588,021,470","51,865","15,227,639",63,20,24,"221,478"
Clout (feat. Cardi B),Offset,"2,231",30.3,"306,221,125","61,432","15,468,892",58,50,24,"194,800"
I love you,Dadju,"2,247",30.2,"70,592,513","10,432","9,086,026",63,25,25,"16,463,650"
One Last Time,Ariana Grande,"2,243",30.2,"1,465,918,510","110,953","65,876,311",77,102,43,"356,866"
Malas Decisiones,Kenia OS,"2,246",30.2,"249,199,925","15,573","11,736,236",68,21,15,"100,850"
Dos Mil 16,Bad Bunny,"2,249",30.2,"426,904,285","50,219","17,690,466",71,15,4,"120,297"
Termina Comigo Antes,Gusttavo Lima,"2,241",30.2,"194,919,563","12,885","13,054,030",63,19,62,"1,085,113"
ZITTI E BUONI,Mï¿½ï¿½ne,"2,242",30.2,"475,549,122","94,637","9,975,524",69,62,28,"566,398"
Dijeron Que No La Iba Lograr,Chino Pacas,"2,254",30.1,"241,174,958","23,146","7,025,185",43,9,1,72
Feel It Still,Portugal. The Man,"2,263",30.1,"1,303,452,422","204,110","65,716,191",74,87,219,"2,003,306"
MotorSport,Migos,"2,262",30.1,"590,983,645","89,159","24,300,466",62,109,23,"169,108"
Bad At Love,Halsey,"2,265",30.1,"635,393,773","56,371","12,074,505",59,60,11,"31,796"
Nevada,YoungBoy Never Broke Again,"2,251",30.1,"163,974,630","60,031","4,503,801",64,23,2,"55,679"
The Adults Are Talking,The Strokes,"2,264",30.1,"457,933,102","152,115","30,405,327",76,29,28,"129,502"
Hips Don't Lie (feat. Wyclef Jean),Shakira,"2,257",30.1,"1,631,152,967","261,693","142,426,948",80,261,147,"3,150,258"
Tak Segampang Itu,Anggi Marito,"2,253",30.1,"415,357,981","14,918","7,489,575",74,8,1,"2,405"
Emotionally Scarred,Lil Baby,"2,261",30.1,"289,652,584","93,481","10,151,445",63,35,3,"30,366"
When It Rains It Pours,Luke Combs,"2,258",30.1,"807,802,864","93,613","23,160,480",78,55,11,"29,415"
If I Didn't Love You,Jason Aldean,"2,268",30,"143,447,350","22,233","3,205,615",60,2,2,"39,829"
NO ME QUIERO CASAR,Bad Bunny,"2,269",30,"144,801,283","20,979","16,117,371",73,18,4,"321,307"
UNHEALTHY (feat. Shania Twain),Anne-Marie,"2,274",30,"107,435,709","18,457","6,727,123",60,52,22,"287,345"
ATORRANTE - con Los Palmeras,Emanero,"2,280",30,"65,617,109","7,487","3,295,468",61,1,4,"252,063"
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship,"2,284",30,"79,621,215","31,102","3,889,566",70,20,11,"246,651"
Take Me to Church,Hozier,"2,276",30,"2,544,489,950","113,315","30,950,638",74,142,18,"17,163"
Roses,The Chainsmokers,"2,270",30,"1,046,848,265","137,023","33,124,854",68,129,43,"173,923"
Close Friends (Lil Baby & Gunna),Lil Baby,"2,267",30,"428,009,373","99,524","11,666,867",65,27,4,"26,549"
BEBï¿,Camilo,"2,277",30,"401,104,048","42,742","14,190,262",66,82,25,"361,819"
Propuesta Indecente,Romeo Santos,"2,266",30,"751,508,028","76,654","28,891,369",74,46,37,"458,762"
Palhaï¿½ï¿½a (Ao V,Naiara Azevedo,"2,271",30,"149,801,910","10,235","8,902,883",58,4,24,"167,705"
Atmosphere,FISHER,"2,278",30,"105,178,211","40,300","55,773,870",70,33,17,"92,002"
Lighter,Galantis,"2,295",29.9,"35,712,909","4,573","31,483,398",5,29,31,"1,270,197"
Happier,Ed Sheeran,"2,287",29.9,"1,322,385,342","109,373","54,954,226",70,37,29,"310,000"
Kill Em With Kindness,Selena Gomez,"2,290",29.9,"550,049,388","48,598","14,497,820",56,53,24,"81,398"
Good Love,Hannah Laing,"2,296",29.9,"100,186,243","26,116","36,440,018",70,41,16,"329,760"
Little Girl Gone,CHINCHILLA,"2,297",29.9,"100,397,677","21,963","13,959,755",68,6,1,"79,184"
Ella Quiere Beber - Remix,Anuel AA,"2,299",29.9,"778,846,570","66,150","25,410,849",70,37,18,"279,961"
Baby (Lil Baby feat. DaBaby),Quality Control,"2,294",29.9,"522,143,496","111,477","16,214,693",68,41,13,"67,110"
Hotel,Montell Fish,"2,291",29.9,"296,674,882","56,660","27,811,906",74,16,8,"210,339"
Mas Altas Que Bajadas,Natanael Cano,"2,288",29.9,"157,476,564","15,069","7,363,178",71,11,1,72
X1,MC Cabelinho,"2,285",29.9,"185,050,407","30,221","5,514,940",62,10,14,"367,281"
DISPARA ***,Nicki Nicole,"2,301",29.8,"182,184,068","23,852","8,214,976",66,11,22,"441,318"
Burn,Ellie Goulding,"2,306",29.8,"784,334,383","104,998","30,818,474",68,86,48,"140,321"
By Your Side,Rod Wave,"2,303",29.8,"164,804,108","40,909","4,353,138",60,20,5,"26,308"
No Te Contaron Mal,Christian Nodal,"2,312",29.8,"492,542,256","37,141","12,874,966",68,27,22,"858,993"
When We Were Young,Adele,"2,305",29.8,"1,284,096,603","117,365","41,710,598",71,133,36,"1,394,780"
I Am Your Gummy Bear (The Gummy Bear Song),Gummibï¿½,"2,307",29.8,"104,073,182","11,904","1,660,833",57,4,2,"3,494"
Do It Again (feat. 2Rare),NLE Choppa,"2,313",29.8,"155,142,115","65,297","6,721,980",60,8,5,"31,849"
Loading,Central Cee,"2,311",29.8,"356,681,497","137,745","8,267,546",65,26,3,"7,612"
Tek Tek (feat. MHD),DYSTINCT,"2,326",29.7,"69,208,147","30,635","5,622,603",59,28,10,"239,446"
Dos Besitos,La Joaqui,"2,320",29.7,"100,335,960","18,928","3,742,291",56,1,4,"28,838"
Deep Down (feat. Never Dull),Alok,"2,318",29.7,"335,203,899","61,133","99,451,251",76,92,111,"2,069,650"
No Me Conoce - Remix,Jhay Cortez,"2,322",29.7,"1,367,265,268","135,811","46,929,639",75,118,45,"1,959,690"
Still Rollin,Shubh,"2,325",29.7,"191,465,461","18,344","7,425,022",69,21,1,"22,131"
Safe And Sound,Capital Cities,"2,317",29.7,"1,286,089,822","256,512","74,267,670",78,118,81,"172,564"
Teeth,5 Seconds of Summer,"2,315",29.7,"683,247,723","103,554","18,582,680",71,62,10,"551,258"
I Took A Pill In Ibiza,Mike Posner,"2,316",29.7,"83,366,020","17,799","3,474,319",49,18,19,"117,547"
Run Free,Deep Chills,"2,334",29.6,"86,943,003","17,950","3,630,498",55,2,5,"5,172"
In The Dark,Purple Disco Machine,"2,330",29.6,"177,722,624","34,102","6,137,203",59,62,32,"846,073"
Felina,WIU,"2,331",29.6,"227,079,649","35,385","8,942,936",63,18,21,"258,759"
Meet you at the Graveyard,Cleffy,"2,327",29.6,"95,871,805","21,000","7,441,709",14,6,6,"53,422"
Sexy to Someone,Clairo,"2,329",29.6,"15,290,073","2,626","37,148,745",74,53,27,"2,902,501"
Se Le Ve,Dï¿½ï¿½melo,"2,332",29.6,"240,138,585","43,572","11,285,970",56,34,7,"33,136"
Coraï¿½ï¿½ï¿½ï¿½o,WIU,"2,333",29.6,"239,669,425","30,426","7,338,920",63,12,29,"657,656"
FEARLESS,LE SSERAFIM,"2,328",29.6,"312,942,305","20,231","4,756,698",62,19,3,"2,892"
Let It Go,James Bay,"2,338",29.5,"1,197,774,081","128,593","56,315,096",65,220,71,"277,681"
Where It Ends,Bailey Zimmerman,"2,343",29.5,"178,441,881","28,857","7,439,902",75,19,10,"1,718,435"
drivers license,Olivia Rodrigo,"2,341",29.5,"2,184,754,018","9,903","2,638,527",57,51,2,424
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),L7NNON,"2,340",29.5,"86,262,202","17,907","7,303,868",53,10,37,"107,890"
Carry You Home,Alex Warren,"2,339",29.5,"9,428,361","1,095","21,925,889",71,13,6,"77,312"
City Boys,Burna Boy,"2,342",29.5,"152,289,860","58,113","19,505,579",69,79,25,"983,428"
Wellerman - Sea Shanty,Nathan Evans,"2,336",29.5,"405,754,991","103,694","5,805,294",66,14,1,892
Every Summertime,NIKI,"2,346",29.5,"383,171,089","60,923","13,164,145",70,26,4,"7,021"
Walk It Talk It,Migos,"2,337",29.5,"778,459,270","150,813","29,317,904",67,80,30,"235,324"
Face Off,Tech N9ne,"2,347",29.5,"194,908,788","58,039","6,855,506",59,4,5,"10,634"
Otra vez (feat. J Balvin),Zion & Lennox,"2,345",29.5,"912,446,776","48,788","18,231,793",67,45,13,"15,030"
BOOKER T,Bad Bunny,"2,351",29.4,"403,041,493","62,435","9,324,189",66,38,35,"295,037"
Girls Never Die,tripleS,"2,352",29.4,"8,797,665",769,"17,349,465",67,13,4,"7,100"
POCPOC,PEDRO SAMPAIO,"2,360",29.4,"137,276,005","9,079","26,226,576",72,21,43,"4,550,743"
Je M'appelle,Benzz,"2,358",29.4,"231,745,345","83,611","6,994,071",65,13,6,"18,881"
Soap,Melanie Martinez,"2,349",29.4,"349,538,935","48,604","10,908,000",67,25,7,"31,712"
Never Forget You,Zara Larsson,"2,348",29.4,"972,089,598","98,962","23,627,265",66,140,29,"226,271"
Tyler Herro,Jack Harlow,"2,355",29.4,"555,631,717","127,984","22,280,549",66,78,16,"9,685"
"i hate u, i love u (feat. olivia o'brien)",gnash,"2,354",29.4,"1,405,772,026","122,979","53,743,248",70,4,23,"483,769"
Ophelia,The Lumineers,"2,350",29.4,"1,274,848,626","213,943","47,156,566",70,86,34,"41,816"
Manos Rotas,DELLAFUENTE,"2,356",29.4,"106,759,874","18,359","8,998,620",71,12,6,"49,793"
Ella No Es Tuya - Remix,Rochy RD,"2,353",29.4,"364,856,266","76,669","15,412,661",62,57,15,"192,642"
Satellite,Harry Styles,"2,373",29.3,"455,718,141","51,605","21,294,785",70,40,33,"1,564,725"
La Santa,Bad Bunny,"2,361",29.3,"915,557,792","96,498","35,375,775",75,86,25,"403,347"
Sure Thing,Miguel,"2,362",29.3,"1,335,928,309","190,857","100,835,580",81,154,84,"7,801,382"
Talibans,Byron Messia,"2,371",29.3,"54,683,202","28,810","5,603,761",61,51,4,"173,622"
Love Story (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,"2,363",29.3,"763,292,840","71,179","60,479,422",74,100,28,"455,783"
Escapism. - Sped Up,RAYE,"2,376",29.3,"270,327,239","47,167","13,191,481",66,13,7,"68,716"
Lisa,Young Miko,"2,365",29.3,"209,988,103","30,013","8,335,647",67,14,7,"78,288"
you should see me in a crown,Billie Eilish,"2,370",29.3,"860,596,912","103,375","35,817,894",71,82,20,"303,683"
Te Robarï¿,Nicky Jam,"2,366",29.3,"547,483,874","59,096","18,863,568",61,59,26,"623,759"
Somebody (2024),Gotye,"2,378",29.2,"51,862,502","14,144","76,264,974",74,32,40,"781,938"
Dandelions,Ruth B.,"2,383",29.2,"1,561,518,107","183,674","67,708,124",82,40,63,"404,143"
Malvada,Zï¿½ï¿½ Fe,"2,382",29.2,"166,427,224","17,110","7,754,576",53,18,25,"320,796"
I Love You So,The Walters,"2,394",29.2,"1,410,353,130","218,492","59,487,193",83,38,29,"677,739"
i love you,Billie Eilish,"2,390",29.2,"930,343,185","116,055","42,732,119",75,35,36,"606,884"
Not Fair,Niklas Dee,"2,392",29.2,"164,667,038","46,918","61,515,543",69,23,31,"573,152"
Him & I (with Halsey),G-Eazy,"2,384",29.2,"949,651,805","141,296","23,238,086",72,69,31,"290,595"
STAY (with Justin Bieber),The Kid LAROI,"2,385",29.2,"3,107,100,349","11,726","2,225,897",53,146,1,"8,421"
Call Your Friends,Rod Wave,"2,395",29.2,"47,296,342","10,429","2,724,041",46,10,13,"31,977"
Rosa Pastel,Peso Pluma,"2,391",29.2,"192,231,633","22,780","5,337,724",65,12,1,72
Dirt Cheap,Cody Johnson,"2,387",29.2,"44,047,842","8,961","11,610,924",11,16,1,"1,149"
Borderline,Tame Impala,"2,380",29.2,"671,310,199","156,377","27,309,112",76,46,31,"173,292"
Tï¿,Carin Leon,"2,393",29.2,"327,311,508","31,216","7,536,781",68,15,7,"81,984"
No Time To Die,Billie Eilish,"2,388",29.2,"610,838,644","91,391","29,634,724",70,88,42,"5,784,923"
Safari,J Balvin,"2,402",29.1,"559,708,419","61,743","16,037,041",65,117,38,"115,932"
comethru,Jeremy Zucker,"2,405",29.1,"822,935,346","90,889","19,172,749",69,55,17,"47,611"
ROCKSTAR,Junior H,"2,404",29.1,"266,127,900","13,021","14,018,925",79,3,6,"1,853,363"
Boy's a liar,PinkPantheress,"2,400",29.1,"203,628,716","39,800","6,108,454",62,23,5,"15,572"
La Mejor Version de Mi,NATTI NATASHA,"2,398",29.1,"109,221,089","33,020","14,584,019",66,13,2,"1,181"
B.O.T.A. (Baddest Of Them All),Eliza Rose,"2,397",29.1,"47,723,324","34,495","3,089,794",52,16,1,817
Love Terremoto - Ao Vivo,Os Barï¿½ï¿½es Da Pisad,"2,413",29,"17,075,528","1,868","3,645,660",40,8,4,"201,570"
Little Dark Age,MGMT,"2,415",29,"641,453,269","197,169","31,052,903",72,55,27,"137,399"
Hypnotized,Purple Disco Machine,"2,419",29,"354,683,755","77,323","15,730,444",58,93,49,"1,245,110"
ELEVEN,IVE,"2,407",29,"306,760,464","23,542","9,642,342",66,33,3,"10,722"
Space Cadet (feat. Gunna),Metro Boomin,"2,416",29,"917,916,061","204,396","35,887,216",75,32,9,"24,228"
November Rain (2022 Version),Guns N' Roses,"2,420",29,"14,394,612","2,572","13,575,009",53,16,2,"92,713"
ýýýýýýýýýýýý ýýýýýýýýýýýý,Lusia Chebotina,"2,421",29,"32,318,892","13,584","1,196,310",51,23,3,"657,583"
We Ride,Bryan Martin,"2,414",29,"200,017,368","30,976","8,143,503",76,6,5,"1,596,411"
Rich Spirit,Kendrick Lamar,"2,437",28.9,"254,191,262","68,188","10,639,841",71,23,7,"165,039"
Cochinae,Julianno Sosa,"2,438",28.9,"155,050,178","35,527","6,146,030",58,3,2,"1,607,668"
I'm Not The Only One,Sam Smith,"2,428",28.9,"1,879,966,374","164,059","76,679,523",77,124,213,"508,144"
Major Distribution,Drake,"2,430",28.9,"199,662,854","70,800","15,434,966",62,27,4,"14,577"
Piï¿½ï¿½man Deï¿,Semicenk,"2,434",28.9,"134,291,091","16,247","2,133,867",65,10,1,"1,566,667"
Dynamite,Taio Cruz,"2,439",28.9,"1,070,923,216","204,514","89,320,567",69,133,48,"1,160,892"
GIVENCHY,Duki,"2,436",28.9,"240,519,561","48,629","9,332,907",62,13,8,"183,474"
Here,Alessia Cara,"2,441",28.9,"616,445,374","76,646","16,115,782",65,19,32,"371,682"
COME UN TUONO (feat. Guï¿½,Rose Villain,"2,433",28.9,"53,590,796","2,987","6,810,196",75,21,2,"3,766,780"
Favorito,Camilo,"2,435",28.9,"488,713,982","42,311","12,661,251",58,88,30,"195,153"
Royalty,Egzod,"2,432",28.9,"317,252,487","52,261","12,634,570",74,6,8,"279,094"
Am I Wrong,Nico & Vinz,"2,440",28.9,"965,827,790","160,031","38,549,276",71,89,64,"111,728"
Tennessee Orange,Megan Moroney,"2,424",28.9,"227,893,586","28,139","12,480,714",73,33,5,"1,370"
Tennessee Orange,Megan Moroney,"2,424",28.9,"227,893,586","28,139","12,480,714",73,33,5,"1,370"
Still Trappin' (with King Von),Lil Durk,"2,448",28.8,"176,140,377","76,081","7,784,086",61,36,7,"31,768"
Issues,Julia Michaels,"2,446",28.8,"1,214,862,854","86,990","25,275,888",69,148,41,"562,204"
Element,Pop Smoke,"2,457",28.8,"523,416,171","164,690","25,242,475",68,14,4,538
Parado no Bailï¿½,MC L da Vinte,"2,442",28.8,"387,513,964","87,059","13,523,070",68,8,17,"106,365"
F Boy,Ander Huang,"2,451",28.8,"1,415,206",973,"166,740",19,3,2,378
"Yo x Ti, Tu x Mi",ROSALï¿½,"2,452",28.8,"572,697,124","76,099","26,265,380",65,148,41,"1,005,275"
Say It,Tory Lanez,"2,447",28.8,"510,138,748","83,010","18,881,944",70,76,58,"25,377"
Ain't Shit,Doja Cat,"2,454",28.8,"599,547,543","90,475","27,073,255",70,112,17,"159,069"
Dancing With Your Ghost,Sasha Alex Sloan,"2,458",28.8,"573,785,235","104,197","40,491,454",71,54,16,"122,149"
SIRENS,Travis Scott,"2,449",28.8,"102,510,409","39,218","4,027,424",65,6,3,"350,471"
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich,Matuï¿,"2,453",28.8,"159,579,530","29,495","10,067,664",67,20,32,"618,294"
Hall of Fame (feat. will.i.am),The Script,"2,465",28.7,"1,438,795,892","180,669","67,730,386",78,71,46,"287,678"
Deixa,Maria Marï¿½ï,"2,467",28.7,"64,736,609","4,611","7,326,714",67,7,25,"1,000,880"
We Didnï¿½ï¿½ï¿½t Start Th,Fall Out Boy,"2,464",28.7,"52,240,739","18,224","4,939,707",59,10,2,"9,501"
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý- Sayonara,Kenshi Yonezu,"2,473",28.7,"22,739,117","1,119","5,275,757",71,20,1,"9,615"
Runaway (U & I),Galantis,"2,469",28.7,"895,051,532","155,100","42,988,196",72,78,58,"399,214"
Ley Seca,Jhay Cortez,"2,462",28.7,"412,597,562","80,841","20,936,024",66,76,14,"26,817"
Dawns (feat. Maggie Rogers),Zach Bryan,"2,461",28.7,"261,468,916","44,088","11,298,879",75,25,3,"7,503"
Numb,Linkin Park,"2,472",28.7,"1,720,830,668","270,810","75,602,131",80,5,70,"907,873"
Dark Red,Steve Lacy,"2,475",28.6,"1,315,024,190","261,850","48,425,069",80,101,17,"87,964"
Diosa,Myke Towers,"2,484",28.6,"465,811,322","70,596","17,915,387",66,42,13,"213,289"
Wagon Wheel,Darius Rucker,"2,477",28.6,"727,417,273","107,826","25,463,894",73,59,19,"25,550"
Is There Someone Else?,The Weeknd,"2,485",28.6,"669,099,980","87,216","26,997,782",76,13,7,"240,246"
Dream Girl,Ir Sais,"2,481",28.6,"133,061,000","41,010","3,635,651",54,24,12,"31,615"
Wild Side (feat. Cardi B),Normani,"2,476",28.6,"181,529,121","36,504","12,624,326",60,88,15,"74,166"
Bi' Tek Ben Anlarï¿½,Kï¿½ï,"2,480",28.6,"214,391,030","27,588","8,269,792",58,12,3,"1,622,897"
Location (feat. Burna Boy),Dave,"2,490",28.5,"540,907,681","169,023","15,332,361",70,113,31,"171,627"
Mon Amour,Annalisa,"2,488",28.5,"86,387,703","9,584","2,241,484",56,23,4,"11,160"
Pray For Me,The Weeknd,"2,491",28.5,"918,478,800","139,420","28,588,643",71,77,33,"300,145"
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,"2,487",28.5,"367,165,473","125,205","14,849,325",65,56,10,"139,412"
Position,Franglish,"2,492",28.5,"44,456,165","3,922","6,621,845",73,25,25,"17,769,679"
Motley Crew,Post Malone,"2,486",28.5,"399,297,877","98,593","24,244,488",66,98,26,"868,677"
Memories,Conan Gray,"2,494",28.5,"445,742,307","68,570","23,007,042",72,9,9,"12,015"
Roï¿½ï¿½a Em,Zï¿½ï¿½ Fe,"2,502",28.4,"192,684,719","15,067","10,379,433",63,12,33,"801,839"
"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,"2,498",28.4,"52,418,564","24,196","1,963,638",57,37,4,"477,056"
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,"2,499",28.4,"349,688,559","77,636","12,565,087",60,26,9,"23,636"
10 Things I Hate About You,Leah Kate,"2,496",28.4,"238,502,829","38,595","7,419,495",4,17,8,"66,599"
X ï¿½ï¿½LTIMA,Daddy Yankee,"2,503",28.3,"409,394,001","53,657","22,643,350",64,45,18,"2,038,434"
Lalala - Ilkan Gunuc Remix,Y2K,"2,515",28.3,"28,240,865","9,377","3,738,275",49,14,6,"4,972"
Poco A Poco,Xavi,"2,514",28.3,"283,079,113","15,570","15,950,378",82,7,11,"13,607,485"
Red Ruby Da Sleeze,Nicki Minaj,"2,504",28.3,"148,574,146","25,770","27,326,995",59,39,8,"113,301"
Mama,Jonas Blue,"2,509",28.3,"955,563,174","89,780","18,075,056",67,103,96,"388,298"
Out of Time,The Weeknd,"2,507",28.3,"451,878,749","78,793","18,239,674",70,41,17,"330,997"
About You,The 1975,"2,506",28.3,"350,348,521","48,286","23,268,627",75,32,5,"224,543"
BED,Joel Corry,"2,512",28.3,"480,737,112","91,401","37,879,799",66,185,124,"487,788"
23,Chayce Beckham,"2,511",28.3,"217,524,988","52,661","12,543,368",69,23,1,577
Remember,Becky Hill,"2,529",28.2,"453,644,642","78,241","59,982,572",67,135,64,"505,344"
Here's Your Perfect,Jamie Miller,"2,523",28.2,"418,998,816","42,598","8,678,739",69,40,6,"6,309"
Highs & Lows,Prinz,"2,530",28.2,"64,747,926","19,758","4,733,486",63,4,8,"81,597"
Survivorï¿½ï¿½ï¿½s R,Roddy Ricch,"2,535",28.2,"4,462,637",789,"28,882,654",66,27,7,"1,298,626"
Impossible,RIIZE,"2,533",28.2,"16,327,372",987,"16,575,491",69,21,6,"21,219"
El Rescate,Grupo Marca Registrada,"2,528",28.2,"391,773,238","34,952","16,586,286",69,7,1,"186,322"
Wockesha,Moneybagg Yo,"2,518",28.2,"138,100,044","64,635","5,451,499",56,59,4,"64,845"
Mirame,Blessd,"2,532",28.2,"24,345,826","1,758","36,846,830",72,21,11,"1,615,702"
Pantysito,Alejo,"2,526",28.2,"332,175,085","63,085","23,635,638",66,37,17,"1,616,786"
brutal,Olivia Rodrigo,"2,524",28.2,"639,900,946","87,550","20,272,841",73,41,8,"43,721"
Recognize (feat. Drake),PARTYNEXTDOOR,"2,531",28.2,"275,465,440","58,725","10,964,599",65,30,14,"2,315"
Lovefool,twocolors,"2,519",28.2,"359,757,970","73,161","29,218,709",62,149,65,"2,659,118"
MEMORIAS,Mora,"2,527",28.2,"359,336,745","67,125","16,316,500",70,38,4,"54,118"
Mood Malandro,Cï¿½ï¿½dig,"2,538",28.1,"188,309,858","15,111","13,192,945",71,6,7,"582,040"
JACKIE BROWN,Brent Faiyaz,"2,542",28.1,"247,386,146","57,298","14,371,239",70,21,5,"494,840"
Never Going Home,Kungs,"2,539",28.1,"304,069,347","89,224","17,836,102",63,89,53,"959,302"
Problemï¿½,Alvaro Diaz,"2,548",28.1,"275,492,185","47,297","14,033,837",68,35,13,"759,534"
Pacto (feat. Luar La L),Jay Wheeler,"2,547",28.1,"58,652,026","19,596","3,713,869",54,14,2,"9,119"
Daisy,Ashnikko,"2,543",28.1,"509,353,753","87,580","20,339,605",63,45,21,"15,708"
Fast Forward,JEON SOMI,"2,556",28,"88,499,180","9,715","3,943,924",59,16,8,"271,497"
